,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,0.0,0.0,0.0,60.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,89.55,5231.2
1,1.0,0.0,1.0,1.0,46.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,99.65,4630.2
2,0.0,0.0,0.0,0.0,69.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,104.7,7220.35
3,0.0,1.0,0.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,69.1,2093.9
4,0.0,0.0,0.0,1.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,19.35,779.2
5,0.0,1.0,1.0,0.0,51.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,29.45,1459.35
6,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,100.2,198.5
7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,46.3,46.3
8,0.0,0.0,0.0,1.0,36.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,94.7,3512.5
9,1.0,1.0,0.0,0.0,44.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,4.0,109.8,4860.35
10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,29.15,29.15
11,1.0,0.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,75.35,564.65
12,0.0,0.0,0.0,0.0,50.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,93.5,4747.5
13,0.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,75.2,775.3
14,0.0,0.0,0.0,0.0,56.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,52.7,3019.7
